sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,variant
9,8,False,0,2,2,nan,0.0,0.0,nan,prior
9,9,True,8968,2837,-6131,0.6836529884032114,0.015047291487532245,0.06168487839266831,0.019513826940231935,prior
9,10,False,0,184,184,nan,0.0,0.0,nan,prior
9,11,False,0,9,9,nan,0.0,0.0,nan,prior
9,12,False,0,0,0,nan,nan,nan,nan,prior
9,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
9,0,False,0,0,0,nan,nan,nan,nan,inverted
9,1,True,45273,24814,-20459,0.45190290018333223,0.40626818355103433,0.8159909728379141,0.447242285689042,inverted
9,2,True,24520,20312,-4208,0.17161500815660685,0.694074969770254,0.904293028751477,0.7491027732463296,inverted
9,3,True,14533,11109,-3424,0.23560173398472442,0.20362373263236952,0.3904941938968404,0.2984930847037776,inverted
9,4,True,73801,73429,-372,0.005040582105933524,0.5737098636110992,0.7309646052649498,0.7272801181555806,inverted
9,5,True,18902,23453,4551,0.24076817268013967,0.23404813239321717,0.3425148168677781,0.42498148344090575,inverted
9,6,True,11543,1571,-9972,0.8639001992549598,0.00931270684214577,0.07702100572883513,0.010482543532877068,inverted
9,7,False,0,1451,1451,nan,0.0,0.0,nan,inverted
9,8,False,0,6573,6573,nan,0.0,0.0,nan,inverted
9,9,True,8968,1105,-7863,0.8767841213202497,0.008005603922745921,0.07239819004524888,0.008920606601248885,inverted
9,10,False,0,1207,1207,nan,0.0,0.0,nan,inverted
9,11,False,0,14715,14715,nan,0.0,0.0,nan,inverted
9,12,False,0,17816,17816,nan,0.0,0.0,nan,inverted
9,13,True,15,0,-15,1.0,0.0,nan,0.0,inverted
10,0,False,0,2,2,nan,0.0,0.0,nan,prior
10,1,True,45273,32317,-12956,0.28617498288162924,0.43395738232087083,0.726583531887242,0.5186535020873368,prior
10,2,True,24520,21702,-2818,0.11492659053833605,0.6957845691015152,0.8738825914662243,0.7734502446982056,prior
10,3,True,14533,8214,-6319,0.43480355054015,0.21317333333333333,0.4866082298514731,0.27502924378999516,prior
10,4,True,73801,97572,23771,0.3220959065595317,0.5257975195206425,0.6052556061165089,0.8002059592688446,prior
10,5,True,18902,28789,9887,0.5230663421860121,0.30097113863276775,0.3832366528882559,0.5836948471061263,prior
10,6,True,11543,16,-11527,0.9986138785411072,0.0011259310583751948,0.8125,0.0011262236853504287,prior
10,7,False,0,3,3,nan,0.0,0.0,nan,prior
10,8,False,0,0,0,nan,nan,nan,nan,prior
10,9,True,8968,8405,-563,0.06277876895628903,0.03122217605508399,0.06258179654967282,0.05865298840321142,prior
10,10,False,0,211,211,nan,0.0,0.0,nan,prior
10,11,False,0,324,324,nan,0.0,0.0,nan,prior
10,12,False,0,0,0,nan,nan,nan,nan,prior
10,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
10,0,False,0,0,0,nan,nan,nan,nan,inverted
10,1,True,45273,25092,-20181,0.44576237492545223,0.39513442778967406,0.7942372070779531,0.4401961433967265,inverted
10,2,True,24520,20487,-4033,0.1644779771615008,0.6567400427004344,0.8708449260506663,0.7276101141924959,inverted
10,3,True,14533,9535,-4998,0.3439069703433565,0.16993972389655843,0.3666491872050341,0.24055597605449666,inverted
10,4,True,73801,76188,2387,0.03234373517974011,0.5312031034658772,0.6829684464745104,0.7050581970434004,inverted
10,5,True,18902,17015,-1887,0.09983070574542377,0.2847229674142433,0.4678225095503967,0.42111945825838537,inverted
10,6,True,11543,2199,-9344,0.8094949319934159,0.009847148736037625,0.06093678944974989,0.011608767218227498,inverted
10,7,False,0,1307,1307,nan,0.0,0.0,nan,inverted
10,8,False,0,5629,5629,nan,0.0,0.0,nan,inverted
10,9,True,8968,4821,-4147,0.4624219446922391,0.018841436382444215,0.05289359054138146,0.02843443354148082,inverted
10,10,False,0,2987,2987,nan,0.0,0.0,nan,inverted
10,11,False,0,15700,15700,nan,0.0,0.0,nan,inverted
10,12,False,0,16595,16595,nan,0.0,0.0,nan,inverted
10,13,True,15,0,-15,1.0,0.0,nan,0.0,inverted
11,0,False,0,7,7,nan,0.0,0.0,nan,prior
11,1,True,45273,31605,-13668,0.30190179577231463,0.4197754303021349,0.7191900015820282,0.50206524860292,prior
11,2,True,24520,21814,-2706,0.11035889070146819,0.7422071818010905,0.9048776015402952,0.8050163132137031,prior
11,3,True,14533,7531,-7002,0.4818000412853506,0.21994913192524604,0.5282167042889391,0.2737218743549164,prior
11,4,True,73801,96549,22748,0.30823430576821453,0.541908037653874,0.6200996385255155,0.8112356201135486,prior
11,5,True,18902,33000,14098,0.7458470003174267,0.2507711586658955,0.31533333333333335,0.5505237541000952,prior
11,6,True,11543,232,-11311,0.9799012388460538,0.009949395316922549,0.5,0.010049380576973058,prior
11,7,False,0,0,0,nan,nan,nan,nan,prior
11,8,False,0,0,0,nan,nan,nan,nan,prior
11,9,True,8968,6566,-2402,0.26784121320249776,0.030789648307896482,0.07066707279926897,0.05173951828724353,prior
11,10,False,0,98,98,nan,0.0,0.0,nan,prior
11,11,False,0,153,153,nan,0.0,0.0,nan,prior
11,12,False,0,0,0,nan,nan,nan,nan,prior
11,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
11,0,False,0,0,0,nan,nan,nan,nan,inverted
